FECHA;Utilidad Neta ;Activo ;Patrimonio ;Pasivo ;Var. Uti. Mensual Neta  ;Var. Uti. Anual Neta ;SOLVENCIA TOTAL;CALIDAD DE CARTERA POR ALTURA DE LA MORA;PROVISIONES / CARTERA VENCIDA;EFICIENCIA;ROE ;ROA ;(Depósitos / Cartera) ;MARGEN FINANCIERO BRUTO / INGRESOS OPERACIONALES;CALIDAD DE CARTERA CON CASTIGOS;Margen Financiero (Ingresos - gastos)/Activo;CALIDAD COMERCIAL;CALIDAD CONSUMO;CALIDAD VIVIENDA;CALIDAD MICROCREDITO;CARTERA COMERCIAL;CARTERA CONSUMO;CARTERA MICROCRÉDITOS;CARTERA DE VIVIENDA;Var. Uti. Neta;MARGEN NETO DE INTERESES / INGRESOS OPERACIONALES;Eficiencia Administrativa;DEPÓSITOS EN CUENTA CORRIENTE;CERTIFICADOS DE DEPÓSITO A TERMINO;DEPÓSITOS DE AHORRO;OPERACIONES DE REPORTO O REPO;OPERACIONES SIMULTÁNEAS;TÍTULOS DE INVERSIÓN EN CIRCULACIÓN;CALIDAD DE CARTERA POR RIESGO;Calidad de Cartera por altura de la mora Comercial;Calidad de Cartera por altura de la mora Consumo;Calidad de Cartera por altura de la mora Vivienda;Calidad de Cartera por altura de la mora Microcrédito;% COMERCIAL;% CONSUMO;% VIVIENDA;% MICROCREDITO;Cobertura Cartera por altura de la mora Comercial;Cobertura Cartera por altura de la mora Consumo;Cobertura Cartera por altura de la mora Vivienda;Cobertura Cartera por altura de la mora Microcrédito;COBERTURA CALIDAD DE CARTERA (CON CASTIGOS);CFEN;IRL;Entidad;CLASIFICACIÓN
1/01/2008;235058.35;161047434.2;18178275.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;235058.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/02/2008;526067.65;160837125.5;18372851.6;142464273.9;1.238030047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;291009.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/03/2008;1127442.92;161116975;17528262.44;143588712.5;1.143151969;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;601375.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/04/2008;1471877.74;165363028.7;18012311.5;147350717.2;0.305500894;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;344434.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/05/2008;1815590.6;164964955;18503986.28;146460968.7;0.23351998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;343712.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/06/2008;2088390.6;169220550.8;18775827.69;150444723.1;0.150254138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;272800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/07/2008;2531539.05;169005193.6;19260007.19;149745186.4;0.212196152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;443148.45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/08/2008;2912226.59;171798747;19971664.28;151827082.7;0.150377905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;380687.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/09/2008;3318091.38;176509713;19755609.24;156754103.7;0.139365801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;405864.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/10/2008;3598030.79;180173645;20066078.91;160107566.1;0.084367601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;279939.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/11/2008;3901882.04;184998381.2;20613331.35;164385049.8;0.084449319;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;303851.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/12/2008;4156407.88;186144930.4;21187545.98;164957384.4;0.065231557;#¡VALOR!;0.126919453;0.037835042;1.259303801;0.888191149;0.216643422;0.024316188;0.691218211;0;0;0;0;0;0;0;0;0;0;0;254525.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/01/2009;335715.75;189350734.2;21874391.76;167476342.4;-0.919229354;0.428223035;0.141115644;0.040973138;1.187525566;0.917586178;0.218383958;0.024566087;0.662059139;0;0;0;0;0;0;0;0;0;0;0;335715.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/02/2009;767146.67;192209314.4;22474083.26;169735231.1;1.285107773;0.458266194;0.140715959;0.042038744;1.172586583;0.913492261;0.221700511;0.02499926;0.678065297;0;0;0;0;0;0;0;0;0;0;0;431430.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/03/2009;1354093.25;192127835.7;21764789.41;170363046.3;0.765103471;0.201030426;0.136564468;0.042776566;1.187246069;0.889759389;0.217108807;0.024556472;0.663984406;0;0;0;0;0;0;0;0;0;0;0;586946.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/04/2009;1714100.04;193092785.4;22294184.62;170798600.8;0.265865582;0.164566861;0.1377427;0.044363391;1.168796617;0.875892476;0.214096053;0.024328743;0.648286628;0;0;0;0;0;0;0;0;0;0;0;360006.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/05/2009;2022392.51;193226709;22779145.23;170447563.8;0.179856754;0.113903382;0.13582636;0.044285234;1.158603899;0.877133438;0.208752153;0.023822515;0.653692496;0;0;0;0;0;0;0;0;0;0;0;308292.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/06/2009;2346143.46;197220937.2;23372156.88;173848780.3;0.160083143;0.123421768;0.136911604;0.043420534;1.181507902;0.878528873;0.207389332;0.023797523;0.681623228;0;0;0;0;0;0;0;0;0;0;0;323750.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/07/2009;2699371.85;196185807.9;23942991.89;172242816;0.150557029;0.066296745;0.140576883;0.042714948;1.219283004;0.878951496;0.199506696;0.023031504;0.698932961;0;0;0;0;0;0;0;0;0;0;0;353228.39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/08/2009;3021174.41;196124480.5;24599335.05;171525145.5;0.119213868;0.037410489;0.141560454;0.044754093;1.193830733;0.879992128;0.193349818;0.022475212;0.707981624;0;0;0;0;0;0;0;0;0;0;0;321802.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/09/2009;3514220.32;195707031.2;24938168.19;170768863;0.163196772;0.059108963;0.141116845;0.042866055;1.236487351;0.873100202;0.193513307;0.022742878;0.705609971;0;0;0;0;0;0;0;0;0;0;0;493045.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/10/2009;3810077.57;199740613.7;25321899.56;174418714.2;0.084188589;0.05893412;0.140947846;0.043133223;1.2455929;0.872530149;0.190511232;0.022633214;0.737471392;0;0;0;0;0;0;0;0;0;0;0;295857.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/11/2009;4147706.66;203335495.4;25727157.82;177608337.6;0.088614755;0.063001551;0.138974473;0.043313585;1.255219209;0.8711937;0.18848142;0.022629062;0.759600866;0;0;0;0;0;0;0;0;0;0;0;337629.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/12/2009;4375238.57;202117256.8;26390207.22;175727049.5;0.054857281;0.052648993;0.140531222;0.03913405;1.39502235;0.882272342;0.183911786;0.022337471;0.75159323;0;0;0;0;0;0;0;0;0;0;0;227531.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/01/2010;226083.25;206672883.1;26479658.01;180193225.1;-0.948326646;-0.326563469;0.152402234;0.041190915;1.326367151;0.95068404;0.176456861;0.021618428;0.759950984;0;0;0;0;0;0;0;0;0;0;0;226083.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/02/2010;648316.85;207991715.6;27215730.42;180775985.2;1.86760231;-0.154898437;0.15309626;0.042034605;1.289841809;0.922295204;0.173244574;0.021428979;0.769407841;0;0;0;0;0;0;0;0;0;0;0;422233.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/03/2010;1458678.3;208600674.9;26507493.07;182093181.8;1.249946612;0.077236224;0.143943616;0.042578989;1.282212207;0.877326089;0.179451278;0.022398965;0.757659229;0;0;0;0;0;0;0;0;0;0;0;810361.45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/04/2010;1831502.19;211218096.7;27128863.26;184089233.5;0.255590208;0.068492006;0.143180963;0.042587935;1.269935846;0.87746976;0.177106411;0.022294677;0.753720421;0;0;0;0;0;0;0;0;0;0;0;372823.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
1/05/2010;2165403.69;209417155.2;27561696.42;181855458.8;0.182310183;0.07071386;0.144217908;0.040623611;1.314264753;0.879959146;0.175360817;0.022272637;0.731694819;0;0;0;0;0;0;0;0;0;0;0;333901.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TODOS;BANCOS
